@type	ref:ISTAT	name	@count
area	030	Provincia di Udine	
count			232413
area	030046	Latisana	
count			4695
area	030049	Lignano Sabbiadoro	
count			7764
area	030082	Precenicco	
count			659
area	030056	Marano Lagunare	
count			1417
area	030069	Palazzolo dello Stella	
count			1022
area	030004	Aquileia	
count			1299
area	030041	Forni di Sopra	
count			1383
area	030042	Forni di Sotto	
count			567
area	030027	Codroipo	
count			5939
area	030097	Ronchis	
count			722
area	030130	Varmo	
count			1595
area	030015	Camino al Tagliamento	
count			707
area	030095	Rive d'Arcano	
count			2070
area	030109	Sedegliano	
count			2111
area	030099	San Daniele del Friuli	
count			4355
area	030087	Ragogna	
count			1686
area	030031	Coseano	
count			923
area	030039	Flaibano	
count			843
area	030032	Dignano	
count			1315
area	030011	Bicinicco	
count			793
area	030048	Lestizza	
count			1738
area	030188	Rivignano Teor	
count			3186
area	030064	Muzzana del Turgnano	
count			1015
area	030114	Talmassons	
